City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Oktyabr'skoye,43.0645,44.7417,60.35,93,100,4.47,RU,1654640265
Sola,-13.8833,167.55,81.34,67,85,21.54,VU,1654640266
Badou,7.5833,0.6,73.47,87,27,1.61,TG,1654640266
Tazovsky,67.4667,78.7,41.47,56,98,5.88,RU,1654640266
Maragogi,-9.0122,-35.2225,74.71,88,22,4.72,BR,1654640267
Maryborough,-25.5333,152.7,52.11,70,15,5.14,AU,1654640267
Machalí,-34.1833,-70.6667,54.68,76,0,10.36,CL,1654640212
Abu Samrah,35.3029,37.1841,70.0,66,0,8.23,SY,1654640267
Matamoros,25.5333,-103.25,102.31,13,40,6.91,MX,1654640268
Saint Anthony,45.0205,-93.218,69.66,51,100,9.22,US,1654640268
Inverell,-29.7833,151.1167,42.67,87,7,1.01,AU,1654640268
Dongkan,33.9997,119.8308,63.37,76,18,6.51,CN,1654640268
Arlit,18.7369,7.3853,91.06,11,77,11.27,NE,1654640269
Betanzos,43.2804,-8.2147,66.09,83,75,13.8,ES,1654640269
Dandong,40.1292,124.3947,60.66,75,96,1.61,CN,1654640269
Gryazovets,58.88,40.2525,43.36,86,9,6.08,RU,1654640270
Egvekinot,66.3167,-179.1667,43.05,45,74,4.68,RU,1654640270
Kiama,-34.6833,150.8667,51.01,64,1,18.01,AU,1654640270
Abhā,18.2164,42.5053,67.82,55,0,0.0,SA,1654640271
Pop,40.8736,71.1089,75.69,33,0,3.56,UZ,1654640271
Dolinsk,47.35,142.8,46.06,73,30,3.56,RU,1654640271
Scottsbluff,41.8666,-103.6672,74.79,57,0,10.36,US,1654640272
Leningradskiy,69.3833,178.4167,36.34,74,47,12.01,RU,1654640272
Huanren,41.2647,125.3667,56.95,88,71,1.07,CN,1654640272
Brae,60.3964,-1.353,48.11,75,99,17.29,GB,1654640272
Bam,29.106,58.357,85.84,12,42,4.72,IR,1654640273
Vestmannaeyjar,63.4427,-20.2734,50.07,85,100,21.52,IS,1654640273
Sergeevka,53.88,67.4158,63.86,74,100,6.44,KZ,1654640274
Lubango,-14.9172,13.4925,53.2,44,21,2.95,AO,1654640274
Alofi,-19.0595,-169.9187,78.69,69,40,8.05,NU,1654640274
Namatanai,-3.6667,152.4333,80.6,78,99,5.41,PG,1654640274
Vao,-22.6667,167.4833,75.16,73,100,15.26,NC,1654640275
Carutapera,-1.195,-46.02,74.86,93,93,5.79,BR,1654640275
Cockburn Town,21.4612,-71.1419,84.16,70,40,13.8,TC,1654640275
Acaraú,-2.8856,-40.12,77.22,85,99,8.88,BR,1654640276
Karratha,-20.7377,116.8463,65.07,49,95,15.17,AU,1654640150
Deputatsky,69.3,139.9,47.95,42,13,6.2,RU,1654640276
Pucallpa,-8.3791,-74.5539,80.64,89,75,6.91,PE,1654640276
Xam Nua,20.4197,104.0439,66.51,98,100,2.17,LA,1654640277
East London,-33.0153,27.9116,63.0,59,14,7.16,ZA,1654640277
Ruteng,-8.6136,120.4721,60.28,89,35,1.48,ID,1654640277
Warsaw,52.2298,21.0118,65.97,91,0,5.75,PL,1654640278
Thinadhoo,0.5333,72.9333,82.56,68,100,4.94,MV,1654640278
Kerema,-7.9631,145.7785,79.21,84,45,3.71,PG,1654640278
Saint-Augustin,51.226,-58.6502,62.17,27,1,8.99,CA,1654640262
Durusu,41.3053,28.6767,65.84,87,7,1.99,TR,1654640279
Noumea,-22.2763,166.4572,80.58,99,98,3.06,NC,1654640054
Klaksvík,62.2266,-6.589,45.52,73,100,17.76,FO,1654640279
Taywarah,33.35,64.4167,51.53,24,1,5.66,AF,1654640279
Iskateley,67.6803,53.1512,59.49,53,52,8.14,RU,1654640280
Cayenne,4.9333,-52.3333,81.09,1,75,5.75,GF,1654640183
Maubin,16.7333,95.65,75.88,91,100,8.63,MM,1654640280
Lucea,18.451,-78.1736,85.86,76,88,8.63,JM,1654640281
Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,81,75,6.71,RU,1654640281
Northam,51.0333,-4.2167,59.4,94,100,13.94,GB,1654640281
Hearst,49.6835,-83.6665,66.45,68,92,5.99,CA,1654640282
Mae Sai,20.4335,99.8762,73.2,99,100,1.19,TH,1654640282
Dhidhdhoo,6.8833,73.1,82.31,75,97,13.47,MV,1654640282
Ouadda,8.0777,22.4007,73.17,78,96,4.38,CF,1654640282
Ormskirk,53.5668,-2.8818,60.39,89,99,13.53,GB,1654640283
Jacareacanga,-6.2222,-57.7528,73.87,96,19,1.61,BR,1654640283
Kruisfontein,-34.0033,24.7314,61.02,35,0,7.99,ZA,1654640240
Barraute,48.4335,-77.6328,61.07,99,100,2.66,CA,1654640284
Kununurra,-15.7667,128.7333,75.18,50,91,6.91,AU,1654640084
Zhuji,29.7188,120.2423,65.82,90,44,1.48,CN,1654640284
Ulaangom,49.9811,92.0667,49.6,57,35,2.55,MN,1654640284
Forsytheganj,52.6333,29.7333,59.59,83,54,3.44,BY,1654640285
Gilgit,35.9221,74.3087,68.14,68,93,2.21,PK,1654640285
Tommot,58.9564,126.2925,64.69,70,59,2.42,RU,1654640285
Evanston,42.0411,-87.6901,77.52,64,20,9.22,US,1654640244
Woodward,36.4337,-99.3904,88.83,55,0,8.05,US,1654640286
Port Augusta,-32.5,137.7667,52.45,66,73,5.79,AU,1654640286
Kavieng,-2.5744,150.7967,82.42,74,97,9.01,PG,1654640286
Severo-Kuril'sk,50.6789,156.125,45.05,84,96,9.86,RU,1654640287
Acapulco de Juárez,16.8634,-99.8901,84.02,70,75,9.22,MX,1654640151
Ardeşen,41.1911,40.9875,66.83,88,33,2.91,TR,1654640287
Ryōtsu-minato,38.0833,138.4333,60.48,86,100,2.62,JP,1654640287
Comodoro Rivadavia,-45.8667,-67.5,51.66,50,0,16.11,AR,1654640288
Barpeta,26.3167,91.0,77.5,92,100,3.83,IN,1654640288
Banjarmasin,-3.3244,114.591,73.54,96,83,3.22,ID,1654640288
Awjilah,29.1081,21.2869,80.58,46,0,11.18,LY,1654640289
Banda Aceh,5.5577,95.3222,80.44,79,100,5.86,ID,1654640289
Eniwa,42.8779,141.5442,58.64,61,75,13.8,JP,1654640289
Pringsewu,-5.3582,104.9744,72.66,97,95,0.92,ID,1654640290
Arcos,-20.2819,-45.5394,65.46,54,9,5.08,BR,1654640290
Ilulissat,69.2167,-51.1,37.89,61,11,4.25,GL,1654640281
Marabu,4.4148,114.0089,73.54,100,20,0.0,MY,1654640290
Sabang,5.8933,95.3214,82.65,76,100,10.63,ID,1654640228
Nadvoitsy,63.8667,34.3167,51.12,77,28,5.08,RU,1654640291
Caravelas,-17.7125,-39.2481,69.91,86,1,6.4,BR,1654640291
Taoudenni,22.6783,-3.9836,100.49,13,78,6.04,ML,1654640292
Pitangui,-19.6828,-44.8903,65.84,53,18,2.15,BR,1654640292
Dondo,-19.6094,34.7431,71.11,75,93,8.86,MZ,1654640292
Nemuro,43.3236,145.575,45.55,82,100,8.03,JP,1654640293
Visnes,59.3556,5.2242,55.22,94,75,5.75,NO,1654640293
Agüimes,27.9054,-15.4461,69.66,73,20,27.63,ES,1654640293
Anáhuac,27.2333,-100.15,109.2,12,3,22.35,MX,1654640294
Kloulklubed,7.0419,134.2556,79.3,73,45,8.75,PW,1654640294
Konstantinovka,49.6167,127.9833,63.25,64,8,4.99,RU,1654640294
Mwinilunga,-11.7358,24.4293,53.51,61,0,8.25,ZM,1654640295
San Cristobal,7.7669,-72.225,75.38,66,39,3.65,VE,1654640155
Kungurtug,50.5994,97.5228,39.4,52,93,0.92,RU,1654640295
Port Saint Lucie,27.2939,-80.3503,86.02,84,43,10.69,US,1654640155
Quelimane,-17.8786,36.8883,67.95,94,75,6.91,MZ,1654640295
Şurmān,32.7567,12.5716,81.45,48,100,9.35,LY,1654640296
Hasaki,35.7333,140.8333,61.29,83,100,13.87,JP,1654640296
Sungai Penuh,-2.0833,101.3833,63.12,97,53,2.73,ID,1654640296
Dryden,49.7833,-92.7503,57.49,72,100,20.71,CA,1654640297
Chapais,49.7834,-74.8492,55.18,96,100,12.44,CA,1654640297
Sørland,67.667,12.6934,42.66,64,94,17.54,NO,1654640297
Sirte,31.2089,16.5887,76.15,70,0,5.77,LY,1654640298
Sechura,-5.5569,-80.8222,73.4,61,81,13.98,PE,1654640298
Kinkala,-4.3614,14.7644,70.79,62,82,2.73,CG,1654640298
Birjand,32.8663,59.2211,72.48,17,0,5.14,IR,1654640298
San Patricio,28.017,-97.5169,94.15,46,3,20.2,US,1654640299
Richards Bay,-28.783,32.0377,61.02,73,1,4.5,ZA,1654640299
Cape Canaveral,28.4058,-80.6048,87.8,73,0,12.66,US,1654640262
Iquique,-20.2208,-70.1431,62.64,81,48,2.46,CL,1654640299
Khani,41.9563,42.9566,60.37,97,67,2.73,GE,1654640300
Mahajanga,-15.7167,46.3167,69.82,78,20,3.44,MG,1654640300
Kahului,20.8947,-156.47,89.62,56,20,18.41,US,1654640094
Dublin,37.7021,-121.9358,92.25,38,0,14.97,US,1654640300
Hobyo,5.3505,48.5268,80.8,69,95,17.18,SO,1654640301
Fenoarivo Atsinanana,-17.3667,49.4167,69.17,89,50,7.4,MG,1654640301
Nānākuli,21.3906,-158.1547,85.98,54,75,14.97,US,1654640301
Touros,-5.1989,-35.4608,76.69,80,100,9.19,BR,1654640302
Chippewa Falls,44.9369,-91.3929,72.97,42,71,5.23,US,1654639802
Maumere,-8.6199,122.2111,78.62,80,29,1.68,ID,1654640302
Srednekolymsk,67.45,153.6833,43.07,53,29,7.78,RU,1654640302
Celestún,20.8667,-90.4,84.85,74,98,13.82,MX,1654640303
Hirara,24.8,125.2833,75.47,94,75,4.61,JP,1654640256
Umm Kaddadah,13.6017,26.6876,86.25,13,75,12.46,SD,1654640303
São Félix do Xingu,-6.6447,-51.995,78.42,70,81,2.64,BR,1654640303
Sapa,5.1544,120.3241,80.91,79,23,3.76,PH,1654640304
Baykit,61.67,96.37,41.13,95,13,1.95,RU,1654640304
Kashgar,39.4547,75.9797,78.01,20,40,11.18,CN,1654640304
Lusambo,-4.9667,23.45,69.4,57,14,2.04,CD,1654640305
Chardara,41.2547,67.9692,77.45,31,0,5.48,KZ,1654640305
Bétérou,9.1992,2.2586,79.34,62,53,2.93,BJ,1654640305
Santa Cruz de la Sierra,-17.8,-63.1667,71.65,73,40,8.05,BO,1654640306
Ust'-Uda,54.1742,103.0304,41.83,79,3,2.1,RU,1654640306
Bambanglipuro,-7.95,110.2833,75.6,88,45,3.96,ID,1654640306
Palana,59.1167,159.9667,46.0,73,99,0.43,RU,1654640307
Healdsburg,38.6105,-122.8692,93.11,41,40,12.66,US,1654640032
Dodge City,37.7528,-100.0171,86.25,49,40,10.36,US,1654640307
Lac du Bonnet,50.2536,-96.0612,66.09,36,0,10.8,CA,1654640111
Adrar,20.5022,-10.0711,94.08,13,88,10.74,MR,1654640307
Nizhnyaya Tavda,57.6731,66.1725,54.45,94,100,19.08,RU,1654640308
Rottingdean,50.8098,-0.0594,59.29,94,96,8.99,GB,1654640308
Chimbote,-9.0853,-78.5783,66.81,76,17,8.32,PE,1654640308
Pauini,-7.7136,-66.9764,76.77,86,97,0.67,BR,1654640309
Parnaíba,-2.9047,-41.7767,80.55,100,75,0.0,BR,1654640309
Tamandaré,-8.7597,-35.1047,75.04,87,51,4.52,BR,1654640309
Martapura,-3.4167,114.85,73.49,100,81,2.3,ID,1654640310
Chlórakas,34.8042,32.4083,72.48,83,20,5.75,CY,1654640310
Klyuchi,52.2667,79.1667,59.76,48,90,7.34,RU,1654640310
Katsuura,35.1333,140.3,62.85,87,100,15.55,JP,1654640311
Ulladulla,-35.35,150.4667,47.3,62,3,11.48,AU,1654640311
Lüderitz,-26.6481,15.1594,67.8,31,0,6.15,NA,1654640311
Ketchikan,55.3422,-131.6461,63.07,59,0,9.22,US,1654640311
Inuvik,68.3499,-133.7218,39.96,60,100,13.8,CA,1654640110
Labuhan,-6.8844,112.2051,78.62,86,76,4.9,ID,1654640312
Padang,-0.9492,100.3543,75.25,88,90,4.09,ID,1654640312
Gemeente Stadskanaal,52.9833,6.95,53.94,93,22,6.38,NL,1654640312
Molteno,-31.3968,26.3625,45.45,47,1,3.31,ZA,1654640313
Walvis Bay,-22.9575,14.5053,74.08,26,0,9.22,NA,1654640313
Alta Floresta,-9.8756,-56.0861,80.42,69,20,1.14,BR,1654640313
Beyneu,45.3167,55.2,72.14,47,97,9.4,KZ,1654640269
Polyarnyye Zori,67.3661,32.4981,44.15,82,2,1.52,RU,1654640314
Hambantota,6.1241,81.1185,78.64,83,100,15.93,LK,1654640314
Kandiaro,27.0601,68.2091,88.88,40,0,16.08,PK,1654640314
Pirmasens,49.2015,7.6053,59.05,96,3,5.66,DE,1654640315
Balabac,7.9868,117.0645,80.98,76,32,3.4,PH,1654640315
Tondi,9.7333,79.0167,83.28,68,100,9.51,IN,1654640315
Avera,33.194,-82.5271,87.55,52,95,4.36,US,1654640316
Kanniyākumāri,8.0833,77.5667,79.25,85,100,17.87,IN,1654640316
Verkhnevilyuysk,63.4453,120.3167,60.94,64,53,3.18,RU,1654640316
Trebur,49.9311,8.4161,62.69,97,75,9.22,DE,1654640317
Mikhaylovka,50.06,43.2379,57.7,76,38,4.59,RU,1654640317
Zanjān,36.6736,48.4787,68.16,34,23,9.04,IR,1654640317
Aktau,43.65,51.2,64.98,58,13,11.21,KZ,1654640318
Khomeyn,33.6423,50.0789,71.8,17,98,3.85,IR,1654640318
Arrondissement d'Ajaccio,42.0,8.9167,75.25,73,0,2.3,FR,1654640285
Leh,34.1667,77.5833,50.86,53,54,4.81,IN,1654640318
Mora,11.0461,14.1401,88.11,19,2,4.7,CM,1654640319
Huittinen,61.1833,22.7,56.41,72,99,3.91,FI,1654640319
Dawei,14.0833,98.2,75.25,94,100,3.4,MM,1654640319
Camopi,3.1655,-52.3158,72.88,98,65,3.29,GF,1654640320
Balyqshy,47.0667,51.8667,59.0,55,0,6.71,KZ,1654640320
Laas,46.6166,10.7002,56.28,90,48,6.58,IT,1654640320
Beruwala,6.4788,79.9828,78.17,86,100,8.23,LK,1654640321
Yeppoon,-23.1333,150.7333,55.18,55,10,7.38,AU,1654640321
Portland,45.5234,-122.6762,76.77,50,100,8.05,US,1654640175
Binzhou,37.3667,118.0167,63.7,74,99,11.48,CN,1654640321
Creston,41.0586,-94.3614,78.76,53,40,6.91,US,1654640322
Emba,48.8264,58.1442,60.55,61,8,7.14,KZ,1654640322
Chiang Khong,20.2613,100.4046,72.99,99,100,1.03,TH,1654640322
Raudeberg,61.9875,5.1352,54.27,85,99,23.0,NO,1654640323
Halifax,44.6453,-63.5724,70.7,61,21,11.99,CA,1654640039
Seydi,39.4816,62.9137,84.02,11,6,3.11,TM,1654640323
Molochnoye,59.2917,39.6787,44.24,85,4,6.15,RU,1654640323
Moussoro,13.6408,16.4901,91.36,14,1,11.07,TD,1654640324
Uvalde,29.3669,-99.767,104.32,23,0,13.8,US,1654640324
Newport,51.5877,-2.9984,60.46,88,100,1.99,GB,1654640324
Pendleton,45.6721,-118.7886,79.79,46,0,10.36,US,1654640324
Homer,59.6425,-151.5483,55.29,81,100,8.01,US,1654640325
Pachmarhi,22.4667,78.4333,79.07,25,21,5.39,IN,1654640325
Rio Grande,-32.035,-52.0986,57.31,88,1,7.78,BR,1654640325
Hamilton,39.1834,-84.5333,81.9,70,40,12.66,US,1654640234
Gizo Government Station,-8.103,156.8419,82.92,72,80,9.46,SB,1654640326
Krasnyy Yar,46.5331,48.3456,68.97,46,0,7.49,RU,1654640326
Bilma,18.6853,12.9164,90.5,13,3,10.16,NE,1654640327
Ishigaki,24.3448,124.1572,77.13,100,100,4.61,JP,1654640327
Mogadishu,2.0371,45.3438,78.98,81,51,19.28,SO,1654640327
Monrovia,6.3005,-10.7969,77.54,80,40,6.89,LR,1654640327
Mokhotlong,-29.2894,29.0675,42.19,60,1,1.19,LS,1654640328
Kayerkan,69.3497,87.7602,33.53,100,100,3.62,RU,1654640328
Kushmurun,52.4503,64.6311,59.45,83,93,8.23,KZ,1654640328
Chowchilla,37.123,-120.2602,101.03,9,83,14.14,US,1654640329
Igarka,67.4667,86.5833,43.07,84,100,7.54,RU,1654640329
Kedrovyy,56.1667,91.8167,30.61,72,99,5.23,RU,1654640329
Palmer,42.1584,-72.3287,74.77,55,100,5.99,US,1654640036
Begoro,6.3871,-0.3774,69.64,95,40,4.36,GH,1654640330
Wukari,7.85,9.7833,77.5,76,77,5.44,NG,1654640330
Whitehorse,60.7161,-135.0538,63.81,34,75,18.41,CA,1654640330
Soeng Sang,14.4264,102.4606,73.72,90,100,4.32,TH,1654640331
Severo-Yeniseyskiy,60.3725,93.0408,39.76,78,95,3.76,RU,1654640331
Sawākin,19.1059,37.3321,84.24,62,0,2.26,SD,1654640331
Dingle,10.9995,122.6711,76.75,89,64,2.21,PH,1654640332
Sainte-Rose,16.3324,-61.6979,82.44,69,20,11.5,GP,1654640332
Ossora,59.2353,163.0719,44.33,88,100,10.76,RU,1654640332
Zheleznodorozhnyy,55.7503,38.0042,57.22,61,20,2.66,RU,1654640333
Sitka,57.0531,-135.33,64.29,45,20,8.05,US,1654640333
Øksfjord,70.2396,22.3479,44.78,89,100,8.77,NO,1654640333
Finschhafen,-6.6024,147.8681,81.1,74,100,4.61,PG,1654640334
Birin,26.8865,88.0718,63.57,92,92,3.2,NP,1654640334
Santa Cruz de Tenerife,28.4682,-16.2546,70.63,87,20,12.66,ES,1654640334
Lerwick,60.1545,-1.1494,50.0,76,97,19.37,GB,1654640335
Kismayo,-0.3582,42.5454,78.06,80,89,16.82,SO,1654640335
Iralaya,15.0,-83.2333,82.58,82,17,12.71,HN,1654640335
Mormugao,15.4,73.8,80.6,78,62,3.22,IN,1654640335
Stykkisholmur,65.0757,-22.7297,49.55,87,100,2.35,IS,1654640336
Maturin,9.75,-63.1767,77.45,85,96,7.76,VE,1654640336
Zeya,53.75,127.2667,66.69,65,23,1.43,RU,1654640336
Coffs Harbour,-30.3,153.1333,48.16,81,0,3.44,AU,1654640337
Fort Nelson,58.8053,-122.7002,63.99,59,75,9.22,CA,1654640337
Mitsamiouli,-11.3847,43.2844,78.3,70,14,5.7,KM,1654640337
Novyy Buyan,53.6861,50.0469,53.76,68,5,18.14,RU,1654640338
Santa Cruz de La Palma,28.6835,-17.7642,69.94,73,40,12.66,ES,1654640197
Karpogory,64.0019,44.4451,45.05,74,44,4.68,RU,1654640338
Xinzhou,38.4092,112.7333,60.84,63,22,2.15,CN,1654640338
Luleå,65.5842,22.1547,48.27,76,0,2.3,SE,1654640190
Yuanping,38.7153,112.7575,59.4,67,28,2.17,CN,1654640339
Ust'-Ilimsk,58.0006,102.6619,47.71,71,100,2.75,RU,1654640339
Filimonovo,56.2011,95.4611,40.71,78,31,3.33,RU,1654640339
Chandler,33.3062,-111.8412,108.25,17,0,11.5,US,1654639791
Mattawa,46.7379,-119.9028,79.02,29,73,7.0,US,1654640340
Tervel Municipality,43.75,27.4,62.24,96,89,5.26,BG,1654640340
Itarema,-2.9248,-39.9167,76.39,88,99,8.55,BR,1654640340
Tambopata,-12.7333,-69.1833,74.8,89,86,2.15,PE,1654640341
Kamenka,51.3223,42.7678,52.09,83,24,5.95,RU,1654640341
Ballina,-28.8667,153.5667,53.78,68,0,11.81,AU,1654640341
Wilkie,52.4168,-108.7014,68.38,31,98,0.63,CA,1654640342
Evensk,61.95,159.2333,50.22,74,100,11.59,RU,1654640342
Sabha,27.0377,14.4283,86.5,16,0,5.77,LY,1654640342
Río Cuarto,-33.1307,-64.3499,62.37,45,0,6.91,AR,1654640342
Waxahachie,32.3865,-96.8483,97.12,54,0,14.97,US,1654640343
Gladstone,-23.85,151.25,56.79,58,18,4.61,AU,1654640343
Kiryat Gat,31.61,34.7642,77.4,75,0,2.73,IL,1654640343
Cooma,-36.2333,149.1333,33.69,81,47,7.31,AU,1654640344
Anadyr,64.75,177.4833,46.9,70,20,11.18,RU,1654640344
Haftoni,38.7632,48.7622,65.91,68,40,4.61,AZ,1654640344
Cap Malheureux,-19.9842,57.6142,71.47,76,26,5.01,MU,1654640345
Lagos,6.5833,3.75,82.72,83,39,5.17,NG,1654640322
Leshukonskoye,64.8989,45.7622,46.87,74,38,4.45,RU,1654640345
Nelson,-41.2833,173.2833,54.28,100,21,1.99,NZ,1654640346
Camaná,-16.6228,-72.7111,63.91,87,97,4.7,PE,1654640346
Markova,48.6758,24.4138,58.05,81,52,4.34,UA,1654640346
Pasni,25.2631,63.471,81.37,83,0,13.69,PK,1654640346
Sena Madureira,-9.0656,-68.6569,79.81,73,100,1.57,BR,1654640347
Kovylkino,54.0388,43.9139,49.26,79,46,7.94,RU,1654640347
Lewistown,40.5992,-77.5714,70.25,100,100,8.05,US,1654640347
